City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hilo,US,2022-08-22 01:26:59,19.7297,-155.09,83.93,70,0,11.5
68,Margate,GB,2022-08-22 01:26:59,51.3813,1.3862,58.3,74,47,6.44
69,Butaritari,KI,2022-08-22 01:26:59,3.0707,172.7902,82.83,72,34,16.96
70,Kantunilkin,MX,2022-08-22 01:27:00,21.0917,-87.45,82.13,72,88,4.74
71,Kapaa,US,2022-08-22 01:27:00,22.0752,-159.319,84.18,64,75,17.27
72,Zhangye,CN,2022-08-22 01:27:00,38.9342,100.4517,68.02,51,87,1.97
73,New Norfolk,AU,2022-08-22 01:27:01,-42.7826,147.0587,49.91,82,100,1.99
74,Sychevka,RU,2022-08-22 01:27:01,55.8252,34.2736,65.05,38,100,13.13
75,Morros,BR,2022-08-22 01:27:06,-9.4467,-46.3003,76.01,32,94,4.74
76,Geraldton,AU,2022-08-22 01:27:06,-28.7667,114.6,54.01,87,100,18.41
77,Lompoc,US,2022-08-22 01:27:06,34.6391,-120.4579,80.02,81,20,9.22
78,Utica,US,2022-08-22 01:22:44,43.1009,-75.2327,73.72,82,100,4.54
79,Lagoa,PT,2022-08-22 01:27:07,39.05,-27.9833,72.48,81,44,8.99
80,Aklavik,CA,2022-08-22 01:27:07,68.2191,-135.0107,42.48,86,100,10.16
81,Buchanan,LR,2022-08-22 01:27:08,5.8808,-10.0467,75.7,86,100,6.69
82,Palana,RU,2022-08-22 01:27:08,59.1167,159.9667,59.13,78,85,10.25
83,Mecca,SA,2022-08-22 01:27:08,21.4267,39.8261,88.48,26,75,2.89
84,Ketchikan,US,2022-08-22 01:27:09,55.3422,-131.6461,68.47,73,0,17.27
85,Sendhwa,IN,2022-08-22 01:27:09,21.6833,75.1,73.4,94,100,7.58
86,Namibe,AO,2022-08-22 01:28:09,-15.1961,12.1522,66.04,85,92,7.47
87,Ushuaia,AR,2022-08-22 01:28:10,-54.8,-68.3,38.86,81,40,20.71
88,Vila,PT,2022-08-22 01:28:10,42.0304,-8.1588,59.7,79,39,5.12
89,Mataura,NZ,2022-08-22 01:28:10,-46.1927,168.8643,50.49,64,33,3.13
90,Port-Gentil,GA,2022-08-22 01:28:11,-0.7193,8.7815,74.86,91,100,12.03
91,Souillac,MU,2022-08-22 01:28:11,-20.5167,57.5167,70.18,83,40,9.22
92,Diffa,NE,2022-08-22 01:28:11,13.3154,12.6113,80.47,65,100,8.28
93,Santa Rosa,PH,2022-08-22 01:28:12,14.3122,121.1114,84.18,80,100,8.14
94,Worthington,US,2022-08-22 01:28:12,40.0931,-83.018,68.52,97,100,4.61
95,Hasaki,JP,2022-08-22 01:28:12,35.7333,140.8333,75.6,84,6,12.19
96,Provideniya,RU,2022-08-22 01:28:13,64.3833,-173.3,51.91,71,0,11.18
97,Cherskiy,RU,2022-08-22 01:28:13,68.75,161.3,62.47,65,100,23.0
98,Mata,PT,2022-08-22 01:28:13,40.683,-7.4592,65.86,72,50,1.86
99,San Luis,AR,2022-08-22 01:23:20,-33.295,-66.3356,53.47,30,4,8.43
100,Talavera,PH,2022-08-22 01:28:14,15.6167,120.9333,79.41,89,100,4.63
101,Turukhansk,RU,2022-08-22 01:28:14,65.8167,87.9833,43.05,71,70,6.69
102,East London,ZA,2022-08-22 01:28:15,-33.0153,27.9116,57.07,53,0,4.7
103,Pevek,RU,2022-08-22 01:28:15,69.7008,170.3133,49.96,65,100,19.55
104,Hobart,AU,2022-08-22 01:23:39,-42.8794,147.3294,50.25,85,75,13.8
105,Saint-Pierre,RE,2022-08-22 01:28:15,-21.3393,55.4781,66.9,63,20,6.91
106,Maxixe,MZ,2022-08-22 01:28:16,-23.8597,35.3472,60.04,67,0,4.68
107,Port Alfred,ZA,2022-08-22 01:28:16,-33.5906,26.891,54.3,76,0,4.88
108,Whitehorse,CA,2022-08-22 01:28:17,60.7161,-135.0538,75.09,38,75,9.22
109,Port-Cartier,CA,2022-08-22 01:28:17,50.0334,-66.8654,64.74,96,99,4.25
110,Cap Malheureux,MU,2022-08-22 01:28:17,-19.9842,57.6142,70.47,70,7,5.01
111,Carnarvon,AU,2022-08-22 01:28:17,-24.8667,113.6333,67.78,41,0,10.2
112,Sikeston,US,2022-08-22 01:28:18,36.8767,-89.5879,78.73,78,100,0.0
113,Liaozhong,CN,2022-08-22 01:28:18,41.5061,122.7242,64.54,94,100,10.22
114,Faanui,PF,2022-08-22 01:27:23,-16.4833,-151.75,78.46,71,100,17.36
115,Tete,MZ,2022-08-22 01:28:19,-16.1564,33.5867,68.09,73,40,5.75
116,Meulaboh,ID,2022-08-22 01:24:49,4.1363,96.1285,77.04,84,100,5.41
117,Mezen,RU,2022-08-22 01:28:19,65.8522,44.24,59.13,64,97,7.25
118,Petropavlovsk-Kamchatskiy,RU,2022-08-22 01:28:19,53.0452,158.6483,64.99,82,40,2.24
119,Barrow,US,2022-08-22 01:28:20,71.2906,-156.7887,33.82,86,100,12.66
120,Mahon,ES,2022-08-22 01:28:20,39.8885,4.2658,75.76,83,0,2.3
121,Novopokrovka,UA,2022-08-22 01:28:21,49.8425,36.5477,67.89,45,96,11.97
122,Bengkulu,ID,2022-08-22 01:27:27,-3.8004,102.2655,75.88,82,100,5.97
123,Upernavik,GL,2022-08-22 01:28:22,72.7868,-56.1549,41.11,72,95,4.45
124,Husavik,IS,2022-08-22 01:28:22,66.0449,-17.3389,39.67,77,20,1.3
125,Bowen,AU,2022-08-22 01:28:22,-20.0167,148.2333,70.88,64,95,13.85
126,Krasnoselkup,RU,2022-08-22 01:28:23,65.7,82.4667,45.52,69,100,6.53
127,Touros,BR,2022-08-22 01:28:23,-5.1989,-35.4608,73.85,84,45,12.62
128,Vao,NC,2022-08-22 01:28:23,-22.6667,167.4833,70.03,83,74,18.41
129,Huangchuan,CN,2022-08-22 01:28:24,32.1272,115.0394,90.46,53,100,18.41
130,Dabakala,CI,2022-08-22 01:29:24,8.3667,-4.4333,71.67,94,19,3.56
131,Whitecourt,CA,2022-08-22 01:25:03,54.1502,-115.6855,74.44,64,20,6.91
132,Sirsaganj,IN,2022-08-22 01:29:24,27.05,78.7,80.69,80,26,11.3
133,Ukiah,US,2022-08-22 01:26:06,39.1502,-123.2078,93.43,34,0,11.5
134,Chinhoyi,ZW,2022-08-22 01:29:25,-17.3667,30.2,56.07,66,3,6.13
135,Ilulissat,GL,2022-08-22 01:29:25,69.2167,-51.1,37.42,87,75,3.44
136,Castellammare Del Golfo,IT,2022-08-22 01:29:26,38.0188,12.8858,76.84,80,3,3.91
137,Deputatskiy,RU,2022-08-22 01:29:26,69.3,139.9,57.13,65,99,2.82
138,Kholm,RU,2022-08-22 01:29:26,59.2667,32.85,66.7,43,100,8.86
139,Yellowknife,CA,2022-08-22 01:25:20,62.456,-114.3525,61.32,72,75,11.5
140,Tessalit,ML,2022-08-22 01:29:27,20.1986,1.0114,88.38,37,5,8.16
141,Iqaluit,CA,2022-08-22 01:29:27,63.7506,-68.5145,49.73,76,100,4.61
142,Benguela,AO,2022-08-22 01:29:27,-12.5763,13.4055,68.76,89,4,6.2
143,Chuy,UY,2022-08-22 01:29:28,-33.6971,-53.4616,47.64,84,77,3.65
144,Voskresenskoye,RU,2022-08-22 01:29:28,56.8381,45.4317,56.8,81,6,4.29
145,Katsuura,JP,2022-08-22 01:25:01,35.1333,140.3,81.93,79,14,10.83
146,Riberalta,BO,2022-08-22 01:29:28,-10.9833,-66.1,69.31,51,5,3.36
147,Lasa,IT,2022-08-22 01:29:29,46.6166,10.7002,63.48,90,8,5.41
148,Xining,CN,2022-08-22 01:29:29,36.6167,101.7667,59.38,92,100,3.13
149,Kumluca,TR,2022-08-22 01:29:29,36.3703,30.2869,79.77,75,0,2.1
150,Rumoi,JP,2022-08-22 01:29:30,43.9344,141.6428,75.31,50,90,4.5
151,College,US,2022-08-22 01:29:30,64.8569,-147.8028,70.59,60,75,5.75
152,Chokurdakh,RU,2022-08-22 01:29:30,70.6333,147.9167,66.42,59,77,4.9
153,Gisors,FR,2022-08-22 01:29:31,49.2818,1.7801,63.14,71,92,6.02
154,Porto Santo,PT,2022-08-22 01:29:31,33.072,-16.3415,70.18,88,75,13.8
155,Komsomolskiy,UZ,2022-08-22 01:29:31,40.4272,71.7189,63.32,34,59,4.61
156,Ancud,CL,2022-08-22 01:29:31,-41.8697,-73.8203,47.59,89,100,1.16
157,Rybachiy,RU,2022-08-22 01:29:32,48.7073,44.7449,66.06,37,37,9.71
158,Jermuk,AM,2022-08-22 01:29:32,39.8417,45.6723,54.36,42,42,4.85
159,Anadyr,RU,2022-08-22 01:29:32,64.75,177.4833,57.7,54,0,15.66
160,Lake Havasu City,US,2022-08-22 01:29:33,34.4839,-114.3224,101.23,38,0,10.36
161,San Cristobal,VE,2022-08-22 01:27:08,7.7669,-72.225,68.18,99,100,4.05
162,Christchurch,NZ,2022-08-22 01:29:19,-43.5333,172.6333,53.91,85,100,13.8
163,Channel-Port Aux Basques,CA,2022-08-22 01:29:33,47.5702,-59.1367,64.15,93,22,8.95
164,Viedma,AR,2022-08-22 01:29:33,-40.8135,-62.9967,41.7,89,0,13.76
165,Mazatlan,MX,2022-08-22 01:28:19,23.2167,-106.4167,87.03,83,40,8.05
166,Longyearbyen,SJ,2022-08-22 01:28:37,78.2186,15.6401,37.24,87,0,4.61
167,Ust-Barguzin,RU,2022-08-22 01:29:34,53.45,108.9833,53.6,77,37,2.21
168,Kutahya,TR,2022-08-22 01:29:34,39.4242,29.9833,67.24,81,8,1.14
169,San Vicente,AR,2022-08-22 01:29:35,-26.6167,-54.1333,52.18,97,12,2.86
170,Ulaangom,MN,2022-08-22 01:29:35,49.9811,92.0667,54.95,35,5,1.07
171,Ponta Do Sol,PT,2022-08-22 01:29:35,32.6667,-17.1,74.03,45,100,6.24
172,Karlskrona,SE,2022-08-22 01:29:36,56.1616,15.5866,55.85,73,100,5.3
173,Saint-Francois,FR,2022-08-22 01:29:36,46.4154,3.9054,60.67,88,0,3.44
174,Baruun-Urt,MN,2022-08-22 01:29:36,46.6806,113.2792,54.48,49,5,13.49
175,Qasigiannguit,GL,2022-08-22 01:29:36,68.8193,-51.1922,37.65,78,100,5.48
176,Oistins,BB,2022-08-22 01:29:37,13.0667,-59.5333,82.49,78,20,10.36
177,Miles City,US,2022-08-22 01:29:37,46.4083,-105.8406,94.17,18,0,5.75
178,Itarema,BR,2022-08-22 01:30:37,-2.9248,-39.9167,77.36,82,87,15.97
179,Dingle,PH,2022-08-22 01:30:38,10.9995,122.6711,76.51,93,100,7.74
180,Shetpe,KZ,2022-08-22 01:30:38,44.1667,52.1167,68.5,44,6,6.82
181,Angoche,MZ,2022-08-22 01:30:38,-16.2325,39.9086,72.86,75,47,16.89
182,Kavieng,PG,2022-08-22 01:30:39,-2.5744,150.7967,84.11,69,21,11.45
183,Bambous Virieux,MU,2022-08-22 01:30:39,-20.3428,57.7575,70.21,83,40,9.22
184,Salvador,SV,2022-08-22 01:30:39,13.8333,-88.9167,70.05,95,79,0.76
185,Isiolo,KE,2022-08-22 01:28:55,0.3546,37.5822,64.89,61,28,9.78
186,Sarkand,KZ,2022-08-22 01:30:40,45.41,79.9186,60.58,33,5,1.48
187,Tynda,RU,2022-08-22 01:30:40,55.1667,124.7167,59.16,59,8,5.79
188,Lufilufi,WS,2022-08-22 01:30:40,-13.8745,-171.5986,83.98,71,54,6.2
189,Beringovskiy,RU,2022-08-22 01:30:41,63.05,179.3167,53.01,71,86,10.71
190,Along,IN,2022-08-22 01:30:41,28.1667,94.7667,82.44,82,64,0.36
191,Barcelos,PT,2022-08-22 01:30:41,41.5388,-8.6151,67.91,91,15,4.27
192,Nabire,ID,2022-08-22 01:30:42,-3.3667,135.4833,82.65,76,18,2.77
193,Monster,NL,2022-08-22 01:30:42,52.0258,4.175,64.98,78,79,3.44
194,Maceio,BR,2022-08-22 01:28:21,-9.6658,-35.7353,72.84,88,75,3.44
195,Narsaq,GL,2022-08-22 01:30:42,60.9167,-46.05,43.02,61,0,4.81
196,Broome,US,2022-08-22 01:30:43,42.2506,-75.833,69.85,90,40,3.44
197,Gold Coast,AU,2022-08-22 01:30:43,-28.0,153.4333,73.24,65,75,8.05
198,Olafsvik,IS,2022-08-22 01:30:43,64.8945,-23.7142,47.25,63,97,12.06
199,Half Moon Bay,US,2022-08-22 01:30:44,37.4636,-122.4286,80.58,73,100,13.8
200,Yumen,CN,2022-08-22 01:30:44,40.2833,97.2,68.72,16,100,22.41
201,Tamandare,BR,2022-08-22 01:30:44,-8.7597,-35.1047,72.61,88,87,7.27
202,Bilibino,RU,2022-08-22 01:30:45,68.0546,166.4372,62.17,61,100,3.69
203,Kalmunai,LK,2022-08-22 01:30:45,7.4167,81.8167,82.53,65,76,1.81
204,Saskylakh,RU,2022-08-22 01:30:45,71.9167,114.0833,47.03,61,100,8.12
205,Yeppoon,AU,2022-08-22 01:30:46,-23.1333,150.7333,71.38,59,38,12.08
206,Nueva Gorgona,PA,2022-08-22 01:30:46,8.55,-79.8667,78.22,99,100,2.59
207,Plouzane,FR,2022-08-22 01:30:47,48.3833,-4.6167,64.72,100,100,11.5
208,Bonito,BR,2022-08-22 01:30:47,-21.1211,-56.4819,64.22,81,0,2.66
209,Romny,UA,2022-08-22 01:30:47,50.751,33.4747,61.74,45,2,9.17
210,La Peca,PE,2022-08-22 01:30:48,-5.6111,-78.435,67.53,78,84,3.65
211,Westport,US,2022-08-22 01:26:37,41.1415,-73.3579,76.08,82,0,8.99
212,Mehamn,NO,2022-08-22 01:30:48,71.0357,27.8492,66.15,77,40,20.71
213,Esperance,AU,2022-08-22 01:30:52,-33.8667,121.9,55.63,51,64,21.36
214,Chute-Aux-Outardes,CA,2022-08-22 01:30:52,49.1168,-68.399,66.18,88,100,14.97
215,Nome,US,2022-08-22 01:30:44,64.5011,-165.4064,66.16,48,100,5.75
216,Kota Tinggi,MY,2022-08-22 01:30:52,1.7381,103.8999,82.44,70,100,4.45
217,Conde,BR,2022-08-22 01:30:53,-7.2597,-34.9075,72.86,94,40,5.75
218,Odoyev,RU,2022-08-22 01:30:53,53.9393,36.6864,62.15,49,100,7.83
219,Bichura,RU,2022-08-22 01:30:53,50.5881,107.6022,50.2,86,100,5.91
220,Kongsvinger,NO,2022-08-22 01:30:54,60.1905,11.9977,47.07,93,0,3.78
221,Kasongo-Lunda,CD,2022-08-22 01:30:54,-6.4667,16.8167,73.08,74,91,1.92
222,Poum,NC,2022-08-22 01:30:54,-20.2333,164.0167,73.72,82,37,12.5
223,Svetlogorsk,BY,2022-08-22 01:30:55,52.6333,29.7333,59.76,72,7,6.38
224,Guerrero Negro,MX,2022-08-22 01:30:55,27.9769,-114.0611,71.01,76,100,15.23
225,Coolum Beach,AU,2022-08-22 01:31:55,-26.5333,153.1,66.34,81,40,8.34
226,Susanville,US,2022-08-22 01:31:56,40.4163,-120.653,91.9,17,0,18.41
227,Gornyy,RU,2022-08-22 01:31:56,55.1153,83.9059,48.6,93,100,5.28
228,Haapiti,PF,2022-08-22 01:31:56,-17.5667,-149.8667,83.93,73,100,12.55
229,Avera,US,2022-08-22 01:31:56,33.194,-82.5271,77.05,89,100,5.39
230,Raudeberg,NO,2022-08-22 01:31:57,61.9875,5.1352,52.47,35,74,28.54
231,Roebourne,AU,2022-08-22 01:31:57,-20.7833,117.1333,79.81,17,0,14.61
232,Te Anau,NZ,2022-08-22 01:31:57,-45.4167,167.7167,47.64,85,74,2.64
233,Ambilobe,MG,2022-08-22 01:31:58,-13.2,49.05,62.19,70,4,4.59
234,Juegang,CN,2022-08-22 01:31:58,32.3174,121.1855,89.91,72,89,9.71
235,Manavalakurichi,IN,2022-08-22 01:31:58,8.1333,77.3,78.19,84,95,13.62
236,Pallasovka,RU,2022-08-22 01:31:59,50.05,46.8833,67.51,39,4,9.46
237,Mildura,AU,2022-08-22 01:31:28,-34.2,142.15,67.06,51,1,26.55
238,Belyy Yar,RU,2022-08-22 01:32:00,53.6039,91.3903,53.85,87,0,2.24
239,Inhambane,MZ,2022-08-22 01:32:01,-23.865,35.3833,61.29,65,0,4.88
240,Paramonga,PE,2022-08-22 01:32:01,-10.6667,-77.8333,61.95,84,83,7.99
241,Tiksi,RU,2022-08-22 01:32:01,71.6872,128.8694,41.02,91,100,14.58
242,Tuktoyaktuk,CA,2022-08-22 01:32:01,69.4541,-133.0374,41.0,81,100,11.5
243,Konakovo,RU,2022-08-22 01:32:02,56.7,36.7667,57.42,48,94,6.15
244,Preobrazheniye,RU,2022-08-22 01:32:02,42.9019,133.9064,72.68,76,100,6.04
245,Durazno,UY,2022-08-22 01:28:26,-33.4131,-56.5006,46.74,68,100,5.37
246,Smithers,CA,2022-08-22 01:32:03,54.7804,-127.1743,84.52,32,20,4.61
247,Sorong,ID,2022-08-22 01:32:03,-0.8833,131.25,82.45,76,100,5.61
248,Persianovskiy,RU,2022-08-22 01:32:03,47.5137,40.1075,75.56,43,0,22.37
249,Harper,LR,2022-08-22 01:32:04,4.375,-7.7169,75.0,86,100,7.92
250,Nadym,RU,2022-08-22 01:32:04,65.5333,72.5167,55.63,82,100,3.13
251,Aksum,ET,2022-08-22 01:32:05,14.1245,38.7244,55.02,91,99,2.19
252,Pangnirtung,CA,2022-08-22 01:32:05,66.1451,-65.7125,48.78,96,100,5.68
253,Altud,RU,2022-08-22 01:32:05,43.7219,43.8658,63.05,62,1,5.77
254,Maniitsoq,GL,2022-08-22 01:32:06,65.4167,-52.9,42.35,71,100,8.79
255,Talnakh,RU,2022-08-22 01:32:06,69.4865,88.3972,43.21,63,84,6.15
256,Puerto Narino,CO,2022-08-22 01:32:06,-3.7703,-70.3831,69.35,82,39,2.71
257,Cootamundra,AU,2022-08-22 01:32:11,-34.65,148.0333,59.95,65,77,16.33
258,Tasiilaq,GL,2022-08-22 01:32:11,65.6145,-37.6368,42.96,92,100,3.65
259,Sisimiut,GL,2022-08-22 01:32:11,66.9395,-53.6735,41.54,76,100,4.92
260,Biak,ID,2022-08-22 01:32:12,-0.9131,122.8766,75.78,89,100,5.12
261,Port Elizabeth,ZA,2022-08-22 01:28:59,-33.918,25.5701,49.32,94,0,4.61
262,Bantou,CN,2022-08-22 01:32:12,26.2151,117.4893,94.32,46,58,2.51
263,Tomatlan,MX,2022-08-22 01:32:13,19.9333,-105.25,78.71,81,99,1.81
264,Salina Cruz,MX,2022-08-22 01:32:13,16.1667,-95.2,81.86,76,87,4.5
265,Taoudenni,ML,2022-08-22 01:32:14,22.6783,-3.9836,97.83,22,2,7.05
266,Dikson,RU,2022-08-22 01:32:14,73.5069,80.5464,42.69,98,100,18.28
267,Praia Da Vitoria,PT,2022-08-22 01:32:14,38.7333,-27.0667,70.75,94,20,6.02
268,Constitucion,CL,2022-08-22 01:32:14,-35.3333,-72.4167,52.38,87,0,5.5
269,Otjimbingwe,NA,2022-08-22 01:32:15,-22.35,16.1333,56.37,13,54,7.45
270,Ocean Springs,US,2022-08-22 01:29:44,30.4113,-88.8278,75.22,93,0,3.44
