City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Ixtapa,MX,86.23,few clouds,20.7,-105.2,hotel la terminal
360,Maragogi,BR,77.61,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
361,Masallatah,LY,82.47,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
362,Rameswaram,IN,80.83,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
367,Sibolga,ID,75.34,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
371,Mao,ES,84.76,few clouds,39.8885,4.2658,ARTIEM Capri
379,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
382,Jawhar,SO,75.7,overcast clouds,2.7809,45.5005,Hotel Shabelle
383,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
386,Civitavecchia,IT,85.17,clear sky,42.0933,11.7967,Hotel Mediterraneo
390,Dingalan,PH,78.87,broken clouds,15.3897,121.3929,Fil Dane Inn
391,Port Said,EG,82.38,scattered clouds,31.2565,32.2841,Aracan Hotel
394,Mehran,IR,99.82,clear sky,33.1222,46.1646,بوتیک زنانه بهار
395,Beatrice,US,84.29,scattered clouds,40.2681,-96.747,Victorian Inn Beatrice
396,Lasa,IT,77.88,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
399,Kudahuvadhoo,MV,76.75,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
400,Morehead,US,89.78,clear sky,37.2711,-87.1764,CCI Express Inn
404,Paracuru,BR,86.07,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
406,Antipovka,RU,83.14,broken clouds,49.8299,45.3122,
407,Manokwari,ID,77.67,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
409,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
411,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,Oceano
414,Bubaque,GW,82.04,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
415,Sinazongwe,ZM,76.28,clear sky,-17.2614,27.4618,Lakeview Lodge
417,Tiznit,MA,75.67,few clouds,29.5833,-9.5,
420,Bilma,NE,95.92,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
422,Rincon,US,86.95,broken clouds,32.296,-81.2354,Days Inn Rincon
423,Pasni,PK,79.74,clear sky,25.2631,63.471,Kashmiri Hotal
424,Abonnema,NG,80.89,light rain,4.7084,6.7931,Corper's Lodge Obonoma
425,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
429,Niamey,NE,86.29,broken clouds,13.5137,2.1098,Soluxe Hotel Niamey
431,Ewa Beach,US,77.43,light rain,21.3156,-158.0072,Base Lodging
433,Ponta Do Sol,PT,75.13,broken clouds,32.6667,-17.1,Hotel do Campo
435,Awjilah,LY,93.85,clear sky,29.1081,21.2869,المنزل
436,Tarauaca,BR,98.28,scattered clouds,-8.1614,-70.7656,Flat Temporada
439,Biak,ID,75.09,overcast clouds,-0.9131,122.8766,Penginapan Kim
442,Beyneu,KZ,89.19,few clouds,45.3167,55.2,NUR
443,Ormara,PK,79.61,clear sky,25.2088,64.6357,Kenara Colony House for Rent
445,Aguimes,ES,76.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
448,Conway,US,85.51,few clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
450,Kupang,ID,75.78,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
451,Quang Ngai,VN,78.73,overcast clouds,15.1167,108.8,Central Hotel
